id,Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,xG,xGA,xGD,xGD/90,Attendance
0,W,Real Madrid 2017-2018,13.0,9.0,2.0,2.0,33.0,16.0,17.0,29.0,33.0,20.0,13.1,1.01,75.39799999999988
1,F,Liverpool 2017-2018,13.0,7.0,4.0,2.0,41.0,16.0,25.0,25.0,33.0,13.2,19.7,1.52,49.960000000000015
2,SF,Bayern Munich 2017-2018,12.0,8.0,2.0,2.0,26.0,12.0,14.0,26.0,27.4,14.2,13.2,1.1,70.00000000000001
3,SF,Roma 2017-2018,12.0,6.0,2.0,4.0,21.0,19.0,2.0,20.0,19.1,18.2,0.9,0.07,48.587
4,QF,Barcelona 2017-2018,10.0,6.0,3.0,1.0,17.0,6.0,11.0,21.0,13.7,8.9,4.8,0.48,73.861
5,QF,Manchester City 2017-2018,10.0,6.0,0.0,4.0,20.0,12.0,8.0,18.0,15.7,11.0,4.6,0.46,48.0499999999999
6,QF,Juventus 2017-2018,10.0,5.0,3.0,2.0,14.0,12.0,2.0,18.0,16.9,13.6,3.3,0.33,38.541
7,QF,Sevilla 2017-2018,10.0,3.0,5.0,2.0,15.0,15.0,0.0,14.0,16.1,13.9,2.2,0.22,38.512
8,R16,Tottenham 2017-2018,8.0,5.0,2.0,1.0,18.0,8.0,10.0,17.0,13.1,12.6,0.5,0.06,69.45399999999991
9,R16,Manchester Utd 2017-2018,8.0,5.0,1.0,2.0,13.0,5.0,8.0,16.0,18.0,8.2,9.8,1.23,74.467
10,R16,Paris S-G 2017-2018,8.0,5.0,0.0,3.0,27.0,9.0,18.0,15.0,17.2,9.5,7.7,0.96,46.38199999999999
11,R16,Basel 2017-2018,8.0,5.0,0.0,3.0,13.0,10.0,3.0,15.0,10.4,10.7,-0.3,-0.04,34.85399999999991
12,R16,Shakhtar 2017-2018,8.0,5.0,0.0,3.0,11.0,11.0,0.0,15.0,9.9,13.7,-3.8,-0.48,33.652
13,R16,Beşiktaş 2017-2018,8.0,4.0,2.0,2.0,12.0,13.0,-1.0,14.0,8.6,15.1,-6.5,-0.81,37.44800000000001
14,R16,Chelsea 2017-2018,8.0,3.0,3.0,2.0,17.0,12.0,5.0,12.0,15.5,7.7,7.8,0.97,40.218
15,R16,Porto 2017-2018,8.0,3.0,2.0,3.0,15.0,15.0,0.0,11.0,10.9,11.2,-0.3,-0.04,43.5679999999999
16,GR,CSKA Moscow 2017-2018,6.0,3.0,0.0,3.0,8.0,10.0,-2.0,9.0,5.7,12.9,-7.2,-1.2,28.259000000000004
17,GR,Atlético Madrid 2017-2018,6.0,1.0,4.0,1.0,5.0,4.0,1.0,7.0,11.3,6.9,4.4,0.74,57.595999999999904
18,GR,RB Leipzig 2017-2018,6.0,2.0,1.0,3.0,10.0,11.0,-1.0,7.0,9.6,7.7,2.0,0.33,41.374
19,GR,Sporting CP 2017-2018,6.0,2.0,1.0,3.0,8.0,9.0,-1.0,7.0,7.3,7.1,0.2,0.04,46.515
20,GR,Napoli 2017-2018,6.0,2.0,0.0,4.0,11.0,11.0,0.0,6.0,10.1,8.2,1.8,0.31,25.878
21,GR,Spartak Moscow 2017-2018,6.0,1.0,3.0,2.0,9.0,13.0,-4.0,6.0,6.8,11.4,-4.6,-0.77,43.5339999999999
22,GR,Feyenoord 2017-2018,6.0,1.0,0.0,5.0,5.0,14.0,-9.0,3.0,5.4,8.6,-3.3,-0.54,41.167
23,GR,Celtic 2017-2018,6.0,1.0,0.0,5.0,5.0,18.0,-13.0,3.0,4.7,10.5,-5.7,-0.96,57.92100000000001
24,GR,NK Maribor 2017-2018,6.0,0.0,3.0,3.0,3.0,16.0,-13.0,3.0,4.1,16.1,-12.0,-1.99,12.349
25,GR,Anderlecht 2017-2018,6.0,1.0,0.0,5.0,2.0,17.0,-15.0,3.0,5.4,14.2,-8.8,-1.47,19.586
26,GR,Dortmund 2017-2018,6.0,0.0,2.0,4.0,7.0,13.0,-6.0,2.0,9.6,9.8,-0.2,-0.04,65.402
27,GR,Monaco 2017-2018,6.0,0.0,2.0,4.0,6.0,16.0,-10.0,2.0,5.9,9.7,-3.8,-0.63,9.378
28,GR,Qarabağ FK 2017-2018,6.0,0.0,2.0,4.0,2.0,14.0,-12.0,2.0,2.4,14.8,-12.4,-2.06,60.7409999999999
29,GR,APOEL FC 2017-2018,6.0,0.0,2.0,4.0,2.0,17.0,-15.0,2.0,3.9,16.5,-12.7,-2.11,17.2109999999999
30,GR,Olympiacos 2017-2018,6.0,0.0,1.0,5.0,4.0,13.0,-9.0,1.0,3.4,13.8,-10.3,-1.72,30.445
31,GR,Benfica 2017-2018,6.0,0.0,0.0,6.0,1.0,14.0,-13.0,0.0,6.2,10.4,-4.2,-0.69,39.492
