id,Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,xG,xGA,xGD,xGD/90,Attendance,Top Team Scorer,Goalkeeper,Notes
0,W,Bayern Munich,11,11,0,0,43,8,+35,33,35.5,10.2,+25.3,+2.30,"50,000",Robert Lewandowski-,Manuel Neuer,
1,,,,,,,,,,,,,,,,,,
2,F,Paris S-G,11,8,1,2,25,6,+19,25,26.2,12.3,+13.9,+1.27,"28,058","Mauro Icardi,Kylian Mbappé-",Keylor Navas,
3,,,,,,,,,,,,,,,,,,
4,SF,RB Leipzig,10,6,2,2,16,12,+4,20,18.0,13.0,+5.0,+0.50,"32,347","Timo Werner,Marcel Sabitzer... -",Péter Gulácsi,
5,SF,Lyon,10,4,2,4,14,14,0,14,12.7,18.4,-5.7,-0.57,"41,780",Memphis-,Anthony Lopes,
6,,,,,,,,,,,,,,,,,,
7,QF,Manchester City,9,6,2,1,21,9,+12,20,25.1,7.9,+17.2,+1.91,"37,594","Raheem Sterling,Gabriel Jesus-",Ederson,
8,QF,Barcelona,9,5,3,1,15,14,+1,18,14.4,17.9,-3.5,-0.39,"60,809",Luis Suárez-,Marc-André ter Stegen,
9,QF,Atlético Madrid,9,5,1,3,13,9,+4,16,15.3,9.1,+6.1,+0.68,"62,232","Álvaro Morata,João Félix-",Jan Oblak,
10,QF,Atalanta,9,4,1,4,17,18,-1,13,17.7,18.9,-1.2,-0.14,"32,770",Josip Iličić-,Pierluigi Gollini,
11,,,,,,,,,,,,,,,,,,
12,R16,Juventus,8,6,1,1,14,6,+8,19,12.0,10.9,+1.2,+0.15,"28,390",Cristiano Ronaldo-,Wojciech Szczęsny,
13,R16,Napoli,8,3,4,1,13,8,+5,13,14.9,11.0,+3.9,+0.48,"34,598",Dries Mertens-,Alex Meret,
14,R16,Liverpool,8,4,1,3,15,12,+3,13,16.2,8.8,+7.4,+0.92,"52,312",Mohamed Salah-,Alisson,
15,R16,Dortmund,8,4,1,3,10,11,-1,13,14.4,13.1,+1.4,+0.17,"65,844",Achraf Hakimi-,Roman Bürki,
16,R16,Real Madrid,8,3,2,3,16,12,+4,11,16.6,13.7,+2.8,+0.36,"70,438",Karim Benzema-,Thibaut Courtois,
17,R16,Valencia,8,3,2,3,13,15,-2,11,14.7,15.7,-1.0,-0.13,"31,599","Rodrigo,Denis Cheryshev... -",Jasper Cillessen,
18,R16,Chelsea,8,3,2,3,12,16,-4,11,17.5,12.7,+4.7,+0.59,"38,845",Tammy Abraham-,Kepa Arrizabalaga,
19,R16,Tottenham,8,3,1,4,18,18,0,10,14.5,11.2,+3.3,+0.42,"57,247",Harry Kane-,"Hugo Lloris,Paulo Gazzaniga",
20,,,,,,,,,,,,,,,,,,
21,GR,Ajax,6,3,1,2,12,6,+6,10,7.5,13.8,-6.3,-1.05,"51,951",Quincy Promes-,André Onana,
22,GR,RB Salzburg,6,2,1,3,16,13,+3,7,13.7,11.9,+1.8,+0.30,"29,520",Erling Haaland-,Cican Stankovic,
23,GR,Inter,6,2,1,3,10,9,+1,7,10.0,10.3,-0.3,-0.05,"62,540",Lautaro Martínez-,Samir Handanović,
24,GR,Benfica,6,2,1,3,10,11,-1,7,8.1,9.4,-1.3,-0.22,"46,576",Pizzi-,Odisseas Vlachodimos,
25,GR,Zenit,6,2,1,3,7,9,-2,7,6.1,9.5,-3.3,-0.55,"51,106","Sardar Azmoun,Artem Dzyuba-",Mikhail Kerzhakov,
26,GR,Leverkusen,6,2,0,4,5,9,-4,6,6.7,6.8,0.0,-0.01,"28,098","Sven Bender,Kevin Volland-",Lukáš Hrádecký,
27,GR,Shakhtar,6,1,3,2,8,13,-5,6,8.3,13.1,-4.8,-0.81,"28,246","Júnior Moraes,Manor Solomon-",Andriy Pyatov,
28,GR,Dinamo Zagreb,6,1,2,3,10,13,-3,5,7.5,16.3,-8.8,-1.46,"28,855",Mislav Oršić-,Dominik Livaković,
29,GR,Olympiacos,6,1,1,4,8,14,-6,4,7.9,12.1,-4.3,-0.71,"31,523",Youssef El-Arabi-,José Sá,
30,GR,Loko Moscow,6,1,0,5,4,11,-7,3,6.0,13.1,-7.0,-1.17,"26,557",Aleksei Miranchuk-,Guilherme Marinato,
31,GR,Club Brugge,6,0,3,3,4,12,-8,3,7.4,10.4,-3.0,-0.51,"26,957",Emmanuel Dennis-,Simon Mignolet,
32,GR,Red Star,6,1,0,5,3,20,-17,3,4.0,19.8,-15.8,-2.64,"43,263","Richmond Boakye,Nemanja Milunović... -",Milan Borjan,
33,GR,Slavia Prague,6,0,2,4,4,10,-6,2,9.4,12.2,-2.8,-0.46,"19,303",Tomáš Souček-,Ondřej Kolář,
34,GR,Galatasaray,6,0,2,4,1,14,-13,2,4.2,16.4,-12.2,-2.03,"43,306",Adem Büyük-,Fernando Muslera,
35,GR,Lille,6,0,1,5,4,14,-10,1,8.8,10.1,-1.3,-0.22,"48,208",Victor Osimhen-,Mike Maignan,
36,GR,Genk,6,0,1,5,5,20,-15,1,6.9,18.2,-11.3,-1.88,"18,957",Mbwana Samatta-,Gaëtan Coucke,
