id,Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,xG,xGA,xGD,xGD/90,Attendance
0,W,Chelsea 2020-2021,13.0,9.0,3.0,1.0,23.0,4.0,19.0,30.0,26.0,9.0,17.0,1.31,0.333
1,F,Manchester City 2020-2021,13.0,11.0,1.0,1.0,25.0,5.0,20.0,34.0,22.5,7.2,15.3,1.18,2.015999999999999
2,QF,Porto 2020-2021,10.0,6.0,1.0,3.0,15.0,9.0,6.0,19.0,12.5,15.1,-2.6,-0.26,0.489999999999999
3,R16,RB Leipzig 2020-2021,8.0,4.0,0.0,4.0,11.0,16.0,-5.0,12.0,10.6,12.8,-2.2,-0.27,0.249999999999999
4,R16,Lazio 2020-2021,8.0,2.0,4.0,2.0,13.0,13.0,0.0,10.0,13.1,11.6,1.5,0.19,0.249999999999999
5,GR,Manchester Utd 2020-2021,6.0,3.0,0.0,3.0,15.0,10.0,5.0,9.0,11.5,8.4,3.1,0.51,0.374
6,GR,Shakhtar 2020-2021,6.0,2.0,2.0,2.0,5.0,12.0,-7.0,8.0,4.7,11.0,-6.3,-1.05,3.3929999999999
7,GR,Inter 2020-2021,6.0,1.0,3.0,2.0,7.0,9.0,-2.0,6.0,8.3,6.5,1.8,0.3,0.333
8,GR,Krasnodar 2020-2021,6.0,1.0,2.0,3.0,6.0,11.0,-5.0,5.0,6.4,11.9,-5.5,-0.92,9.948
9,GR,RB Salzburg 2020-2021,6.0,1.0,1.0,4.0,10.0,17.0,-7.0,4.0,11.2,9.3,2.0,0.33,0.9999999999999988
10,GR,Dynamo Kyiv 2020-2021,6.0,1.0,1.0,4.0,4.0,13.0,-9.0,4.0,6.3,13.0,-6.7,-1.12,4.949999999999999
11,GR,Loko Moscow 2020-2021,6.0,0.0,3.0,3.0,5.0,10.0,-5.0,3.0,4.9,11.1,-6.2,-1.03,7.7009999999999
12,GR,Başakşehir 2020-2021,6.0,1.0,0.0,5.0,7.0,18.0,-11.0,3.0,5.2,12.2,-7.0,-1.16,0.233
13,GR,Midtjylland 2020-2021,6.0,0.0,2.0,4.0,4.0,13.0,-9.0,2.0,7.1,11.3,-4.2,-0.71,0.087999999999999
14,GR,Rennes 2020-2021,6.0,0.0,1.0,5.0,3.0,11.0,-8.0,1.0,7.6,12.4,-4.8,-0.8,1.658
15,GR,Zenit 2020-2021,6.0,0.0,1.0,5.0,4.0,13.0,-9.0,1.0,5.6,11.3,-5.7,-0.95,14.990000000000002
16,GR,Ferencváros 2020-2021,6.0,0.0,1.0,5.0,5.0,17.0,-12.0,1.0,5.6,12.7,-7.1,-1.19,8.233999999999998
