id,Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Attendance
0,W,Real Madrid,13.0,9.0,3.0,1.0,35.0,18.0,17.0,30.0,75.54699999999998
1,F,Juventus,13.0,9.0,3.0,1.0,22.0,6.0,16.0,30.0,33.641999999999996
2,SF,Atlético Madrid,12.0,9.0,1.0,2.0,18.0,10.0,8.0,28.0,46.751
3,SF,Monaco,12.0,5.0,3.0,4.0,19.0,19.0,0.0,18.0,13.471
4,QF,Barcelona,10.0,6.0,1.0,3.0,26.0,12.0,14.0,19.0,85.86300000000001
5,QF,Bayern Munich,10.0,6.0,0.0,4.0,27.0,14.0,13.0,18.0,70.00000000000001
6,QF,Dortmund,10.0,5.0,2.0,3.0,28.0,16.0,12.0,17.0,63.69799999999999
7,QF,Leicester City,10.0,5.0,2.0,3.0,11.0,10.0,1.0,17.0,31.471
8,R16,Paris S-G,8.0,4.0,3.0,1.0,18.0,13.0,5.0,15.0,45.516000000000005
9,R16,Arsenal,8.0,4.0,2.0,2.0,20.0,16.0,4.0,14.0,59.869
10,R16,Sevilla,8.0,4.0,2.0,2.0,9.0,6.0,3.0,14.0,37.433
11,R16,Manchester City,8.0,3.0,4.0,1.0,17.0,13.0,4.0,13.0,47.0649999999999
12,R16,Porto,8.0,3.0,2.0,3.0,9.0,6.0,3.0,11.0,38.7939999999999
13,R16,Napoli,8.0,3.0,2.0,3.0,13.0,14.0,-1.0,11.0,40.054
14,R16,Benfica,8.0,3.0,2.0,3.0,11.0,14.0,-3.0,11.0,51.131
15,R16,Leverkusen,8.0,2.0,4.0,2.0,11.0,11.0,0.0,10.0,25.89399999999989
16,GR,FC Copenhagen,6.0,2.0,3.0,1.0,7.0,2.0,5.0,9.0,30.596000000000004
17,GR,Lyon,6.0,2.0,2.0,2.0,5.0,3.0,2.0,8.0,50.027999999999906
18,GR,Tottenham,6.0,2.0,1.0,3.0,6.0,6.0,0.0,7.0,77.51900000000002
19,GR,Beşiktaş,6.0,1.0,4.0,1.0,9.0,14.0,-5.0,7.0,35.184000000000005
20,GR,Dynamo Kyiv,6.0,1.0,2.0,3.0,8.0,6.0,2.0,5.0,25.055
21,GR,Rostov,6.0,1.0,2.0,3.0,6.0,12.0,-6.0,5.0,14.419
22,GR,M'Gladbach,6.0,1.0,2.0,3.0,5.0,12.0,-7.0,5.0,46.162
23,GR,Legia Warsaw,6.0,1.0,1.0,4.0,9.0,24.0,-15.0,4.0,18.512
24,GR,Sporting CP,6.0,1.0,0.0,5.0,5.0,8.0,-3.0,3.0,45.583
25,GR,CSKA Moscow,6.0,0.0,3.0,3.0,5.0,11.0,-6.0,3.0,23.1469999999999
26,GR,Ludogorets,6.0,0.0,3.0,3.0,6.0,15.0,-9.0,3.0,22.945999999999998
27,GR,Celtic,6.0,0.0,3.0,3.0,5.0,16.0,-11.0,3.0,57.781000000000006
28,GR,PSV Eindhoven,6.0,0.0,2.0,4.0,4.0,11.0,-7.0,2.0,34.13
29,GR,Basel,6.0,0.0,2.0,4.0,3.0,12.0,-9.0,2.0,33.83
30,GR,Club Brugge,6.0,0.0,0.0,6.0,2.0,14.0,-12.0,0.0,21.092
31,GR,Dinamo Zagreb,6.0,0.0,0.0,6.0,0.0,15.0,-15.0,0.0,12.577
