id,Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Attendance
0,W,Barcelona,13.0,8.0,4.0,1.0,30.0,9.0,21.0,28.0,85.535
1,F,Manchester Utd,13.0,6.0,6.0,1.0,19.0,7.0,12.0,24.0,80.325
2,SF,Real Madrid,12.0,7.0,4.0,1.0,25.0,6.0,19.0,25.0,71.583
3,SF,Schalke 04,12.0,5.0,4.0,3.0,22.0,14.0,8.0,19.0,52.378
4,QF,Shakhtar,10.0,6.0,2.0,2.0,19.0,14.0,5.0,20.0,49.083
5,QF,Chelsea,10.0,6.0,1.0,3.0,17.0,7.0,10.0,19.0,39.157000000000004
6,QF,Tottenham,12.0,4.0,5.0,3.0,25.0,19.0,6.0,17.0,34.9859999999999
7,QF,Inter,10.0,4.0,1.0,5.0,18.0,21.0,-3.0,13.0,60.71999999999989
8,R16,Bayern Munich,8.0,6.0,1.0,1.0,19.0,9.0,10.0,19.0,65.75
9,R16,Arsenal,8.0,5.0,0.0,3.0,21.0,11.0,10.0,15.0,59.633
10,R16,FC Copenhagen,12.0,3.0,5.0,4.0,12.0,11.0,1.0,14.0,35.10199999999989
11,R16,Marseille,8.0,4.0,1.0,3.0,13.0,5.0,8.0,13.0,52.922000000000004
12,R16,Valencia,8.0,3.0,3.0,2.0,17.0,8.0,9.0,12.0,32.4119999999999
13,R16,Lyon,8.0,3.0,2.0,3.0,12.0,14.0,-2.0,11.0,36.881
14,R16,Roma,8.0,3.0,1.0,4.0,12.0,17.0,-5.0,10.0,34.665999999999904
15,R16,Milan,8.0,2.0,3.0,3.0,7.0,8.0,-1.0,9.0,60.11
16,GR,Braga,10.0,6.0,0.0,4.0,14.0,16.0,-2.0,18.0,13.753999999999902
17,GR,Hapoel Tel Aviv,12.0,4.0,4.0,4.0,20.0,15.0,5.0,16.0,12.710999999999999
18,GR,Basel,10.0,5.0,1.0,4.0,17.0,12.0,5.0,16.0,36.745999999999995
19,GR,Partizan,12.0,4.0,2.0,6.0,15.0,19.0,-4.0,14.0,24.595
20,GR,Ajax,10.0,2.0,5.0,3.0,13.0,16.0,-3.0,11.0,47.580999999999996
21,GR,Spartak Moscow,6.0,3.0,0.0,3.0,7.0,10.0,-3.0,9.0,51.739
22,GR,Werder Bremen,8.0,2.0,2.0,4.0,11.0,16.0,-5.0,8.0,30.314999999999998
23,GR,MŠK Žilina,12.0,1.0,4.0,7.0,13.0,22.0,-9.0,7.0,9.594000000000001
24,GR,Twente,6.0,1.0,3.0,2.0,9.0,11.0,-2.0,6.0,23.933
25,GR,Rubin Kazan,6.0,1.0,3.0,2.0,2.0,4.0,-2.0,6.0,19.556999999999903
26,GR,Rangers,6.0,1.0,3.0,2.0,3.0,6.0,-3.0,6.0,45.686
27,GR,Benfica,6.0,2.0,0.0,4.0,7.0,12.0,-5.0,6.0,28.62
28,GR,CFR Cluj,6.0,1.0,1.0,4.0,6.0,12.0,-6.0,4.0,10.600000000000001
29,GR,Auxerre,8.0,1.0,1.0,6.0,5.0,13.0,-8.0,4.0,19.989999999999903
30,GR,Panathinaikos,6.0,0.0,2.0,4.0,2.0,13.0,-11.0,2.0,49.4519999999999
31,GR,Bursaspor,6.0,0.0,1.0,5.0,2.0,16.0,-14.0,1.0,17.907999999999994
