id,Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Attendance,xG,xGA,xGD,xGD/90
187,GR,Maccabi Tel Aviv 2015-2016,12.0,2.0,2.0,8.0,13.0,24.0,-11.0,8.0,27.622,,,,
188,GR,Sevilla 2015-2016,6.0,2.0,0.0,4.0,8.0,11.0,-3.0,6.0,37.267,,,,
189,GR,M'Gladbach 2015-2016,6.0,1.0,2.0,3.0,8.0,12.0,-4.0,5.0,45.8699999999999,,,,
190,GR,Galatasaray 2015-2016,6.0,1.0,2.0,3.0,6.0,10.0,-4.0,5.0,31.181999999999903,,,,
191,GR,Lyon 2015-2016,6.0,1.0,1.0,4.0,5.0,9.0,-4.0,4.0,31.304,,,,
192,W,Real Madrid 2016-2017,13.0,9.0,3.0,1.0,35.0,18.0,17.0,30.0,75.54699999999998,,,,
193,F,Juventus 2016-2017,13.0,9.0,3.0,1.0,22.0,6.0,16.0,30.0,33.642,,,,
194,SF,Atlético Madrid 2016-2017,12.0,9.0,1.0,2.0,18.0,10.0,8.0,28.0,46.751,,,,
195,SF,Monaco 2016-2017,12.0,5.0,3.0,4.0,19.0,19.0,0.0,18.0,13.471,,,,
196,QF,Barcelona 2016-2017,10.0,6.0,1.0,3.0,26.0,12.0,14.0,19.0,85.86300000000001,,,,
197,QF,Bayern Munich 2016-2017,10.0,6.0,0.0,4.0,27.0,14.0,13.0,18.0,70.00000000000001,,,,
198,QF,Dortmund 2016-2017,10.0,5.0,2.0,3.0,28.0,16.0,12.0,17.0,63.69799999999999,,,,
199,QF,Leicester City 2016-2017,10.0,5.0,2.0,3.0,11.0,10.0,1.0,17.0,31.471,,,,
200,R16,Paris S-G 2016-2017,8.0,4.0,3.0,1.0,18.0,13.0,5.0,15.0,45.516000000000005,,,,
201,R16,Arsenal 2016-2017,8.0,4.0,2.0,2.0,20.0,16.0,4.0,14.0,59.869,,,,
202,R16,Sevilla 2016-2017,8.0,4.0,2.0,2.0,9.0,6.0,3.0,14.0,37.433,,,,
203,R16,Manchester City 2016-2017,8.0,3.0,4.0,1.0,17.0,13.0,4.0,13.0,47.0649999999999,,,,
204,R16,Porto 2016-2017,8.0,3.0,2.0,3.0,9.0,6.0,3.0,11.0,38.7939999999999,,,,
205,R16,Napoli 2016-2017,8.0,3.0,2.0,3.0,13.0,14.0,-1.0,11.0,40.054,,,,
206,R16,Benfica 2016-2017,8.0,3.0,2.0,3.0,11.0,14.0,-3.0,11.0,51.131,,,,
207,R16,Leverkusen 2016-2017,8.0,2.0,4.0,2.0,11.0,11.0,0.0,10.0,25.89399999999989,,,,
208,GR,FC Copenhagen 2016-2017,6.0,2.0,3.0,1.0,7.0,2.0,5.0,9.0,30.596000000000004,,,,
209,GR,Lyon 2016-2017,6.0,2.0,2.0,2.0,5.0,3.0,2.0,8.0,50.02799999999991,,,,
210,GR,Tottenham 2016-2017,6.0,2.0,1.0,3.0,6.0,6.0,0.0,7.0,77.51900000000002,,,,
211,GR,Beşiktaş 2016-2017,6.0,1.0,4.0,1.0,9.0,14.0,-5.0,7.0,35.184000000000005,,,,
212,GR,Dynamo Kyiv 2016-2017,6.0,1.0,2.0,3.0,8.0,6.0,2.0,5.0,25.055,,,,
213,GR,Rostov 2016-2017,6.0,1.0,2.0,3.0,6.0,12.0,-6.0,5.0,14.419,,,,
214,GR,M'Gladbach 2016-2017,6.0,1.0,2.0,3.0,5.0,12.0,-7.0,5.0,46.162,,,,
215,GR,Legia Warsaw 2016-2017,6.0,1.0,1.0,4.0,9.0,24.0,-15.0,4.0,18.512,,,,
216,GR,Sporting CP 2016-2017,6.0,1.0,0.0,5.0,5.0,8.0,-3.0,3.0,45.583,,,,
217,GR,CSKA Moscow 2016-2017,6.0,0.0,3.0,3.0,5.0,11.0,-6.0,3.0,23.1469999999999,,,,
218,GR,Ludogorets 2016-2017,6.0,0.0,3.0,3.0,6.0,15.0,-9.0,3.0,22.946,,,,
219,GR,Celtic 2016-2017,6.0,0.0,3.0,3.0,5.0,16.0,-11.0,3.0,57.781000000000006,,,,
220,GR,PSV Eindhoven 2016-2017,6.0,0.0,2.0,4.0,4.0,11.0,-7.0,2.0,34.13,,,,
221,GR,Basel 2016-2017,6.0,0.0,2.0,4.0,3.0,12.0,-9.0,2.0,33.83,,,,
222,GR,Club Brugge 2016-2017,6.0,0.0,0.0,6.0,2.0,14.0,-12.0,0.0,21.092,,,,
