id,Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Attendance,xG,xGA,xGD,xGD/90
330,GR,Dynamo Kyiv 2020-2021,6.0,1.0,1.0,4.0,4.0,13.0,-9.0,4.0,4.949999999999999,6.3,13.0,-6.7,-1.12
331,GR,Loko Moscow 2020-2021,6.0,0.0,3.0,3.0,5.0,10.0,-5.0,3.0,7.7009999999999,4.9,11.1,-6.2,-1.03
332,GR,Başakşehir 2020-2021,6.0,1.0,0.0,5.0,7.0,18.0,-11.0,3.0,0.233,5.2,12.2,-7.0,-1.16
333,GR,Midtjylland 2020-2021,6.0,0.0,2.0,4.0,4.0,13.0,-9.0,2.0,0.087999999999999,7.1,11.3,-4.2,-0.71
334,GR,Rennes 2020-2021,6.0,0.0,1.0,5.0,3.0,11.0,-8.0,1.0,1.658,7.6,12.4,-4.8,-0.8
335,GR,Zenit 2020-2021,6.0,0.0,1.0,5.0,4.0,13.0,-9.0,1.0,14.990000000000002,5.6,11.3,-5.7,-0.95
336,GR,Ferencváros 2020-2021,6.0,0.0,1.0,5.0,5.0,17.0,-12.0,1.0,8.233999999999998,5.6,12.7,-7.1,-1.19
337,1,Real Madrid 2021-2022,13.0,9.0,0.0,4.0,29.0,14.0,15.0,27.0,48.1109999999999,21.6,20.1,1.5,0.11
338,2,Liverpool 2021-2022,13.0,10.0,1.0,2.0,30.0,14.0,16.0,31.0,64.11800000000001,27.3,13.1,14.2,1.09
339,SF,Manchester City 2021-2022,12.0,7.0,2.0,3.0,29.0,16.0,13.0,23.0,49.295,26.6,11.5,15.1,1.26
340,SF,Villarreal 2021-2022,12.0,5.0,3.0,4.0,20.0,16.0,4.0,18.0,18.6099999999999,19.4,18.6,0.9,0.07
341,QF,Bayern Munich 2021-2022,10.0,7.0,2.0,1.0,31.0,7.0,24.0,23.0,34.0,26.3,7.7,18.6,1.86
342,QF,Chelsea 2021-2022,10.0,7.0,1.0,2.0,21.0,10.0,11.0,22.0,39.07600000000001,19.0,11.0,8.0,0.8
343,QF,Benfica 2021-2022,10.0,3.0,4.0,3.0,14.0,17.0,-3.0,13.0,47.128,11.8,21.4,-9.7,-0.97
344,QF,Atlético Madrid 2021-2022,10.0,3.0,3.0,4.0,9.0,10.0,-1.0,12.0,58.158,12.2,13.2,-1.1,-0.11
345,R16,Ajax 2021-2022,8.0,6.0,1.0,1.0,22.0,8.0,14.0,19.0,40.1809999999999,19.0,10.0,8.9,1.12
346,R16,Juventus 2021-2022,8.0,5.0,1.0,2.0,11.0,10.0,1.0,16.0,21.968,13.3,10.6,2.7,0.34
347,R16,Paris S-G 2021-2022,8.0,4.0,2.0,2.0,15.0,11.0,4.0,14.0,44.911,14.5,13.9,0.6,0.08
348,R16,Inter 2021-2022,8.0,4.0,1.0,3.0,9.0,7.0,2.0,13.0,41.13300000000001,12.8,7.8,5.0,0.62
349,R16,Manchester Utd 2021-2022,8.0,3.0,3.0,2.0,12.0,10.0,2.0,12.0,72.89299999999999,9.4,10.6,-1.2,-0.15
350,R16,Lille 2021-2022,8.0,3.0,2.0,3.0,8.0,8.0,0.0,11.0,37.8239999999999,10.5,7.5,2.9,0.37
351,R16,RB Salzburg 2021-2022,8.0,3.0,2.0,3.0,10.0,14.0,-4.0,11.0,20.812,12.3,12.7,-0.5,-0.06
352,R16,Sporting CP 2021-2022,8.0,3.0,1.0,4.0,14.0,17.0,-3.0,10.0,37.672,12.2,12.7,-0.5,-0.07
353,GR,Dortmund 2021-2022,6.0,3.0,0.0,3.0,10.0,11.0,-1.0,9.0,31.606999999999893,11.5,7.6,3.8,0.64
354,GR,RB Leipzig 2021-2022,6.0,2.0,1.0,3.0,15.0,14.0,1.0,7.0,21.098000000000003,13.4,11.0,2.4,0.4
355,GR,Sheriff Tiraspol 2021-2022,6.0,2.0,1.0,3.0,7.0,11.0,-4.0,7.0,5.688999999999998,4.4,12.2,-7.9,-1.32
356,GR,Barcelona 2021-2022,6.0,2.0,1.0,3.0,2.0,9.0,-7.0,7.0,45.092,6.5,9.5,-3.0,-0.51
357,GR,Sevilla 2021-2022,6.0,1.0,3.0,2.0,5.0,5.0,0.0,6.0,25.468000000000004,7.2,7.8,-0.6,-0.09
358,GR,Atalanta 2021-2022,6.0,1.0,3.0,2.0,12.0,13.0,-1.0,6.0,11.555999999999894,10.2,9.1,1.1,0.18
359,GR,Zenit 2021-2022,6.0,1.0,2.0,3.0,10.0,10.0,0.0,5.0,21.135,9.8,8.0,1.9,0.31
360,GR,Young Boys 2021-2022,6.0,1.0,2.0,3.0,7.0,12.0,-5.0,5.0,29.879,7.4,10.3,-3.0,-0.5
361,GR,Wolfsburg 2021-2022,6.0,1.0,2.0,3.0,5.0,10.0,-5.0,5.0,11.463,4.8,11.1,-6.2,-1.04
362,GR,Porto 2021-2022,6.0,1.0,2.0,3.0,4.0,11.0,-7.0,5.0,31.493,8.0,8.8,-0.8,-0.13
363,GR,Milan 2021-2022,6.0,1.0,1.0,4.0,6.0,9.0,-3.0,4.0,43.76200000000001,5.8,10.2,-4.5,-0.74
364,GR,Club Brugge 2021-2022,6.0,1.0,1.0,4.0,6.0,20.0,-14.0,4.0,25.511,6.1,19.5,-13.4,-2.23
365,GR,Shakhtar 2021-2022,6.0,0.0,2.0,4.0,2.0,12.0,-10.0,2.0,22.349,6.8,10.1,-3.3,-0.55
366,GR,Dynamo Kyiv 2021-2022,6.0,0.0,1.0,5.0,1.0,11.0,-10.0,1.0,27.256000000000004,4.3,9.2,-4.9,-0.82
367,GR,Malmö 2021-2022,6.0,0.0,1.0,5.0,1.0,14.0,-13.0,1.0,13.634,1.6,15.1,-13.5,-2.25
368,GR,Beşiktaş 2021-2022,6.0,0.0,0.0,6.0,3.0,19.0,-16.0,0.0,19.031,6.2,19.7,-13.5,-2.26
369,1,Manchester City 2022-2023,13.0,8.0,5.0,0.0,32.0,5.0,27.0,29.0,63.639,26.5,10.5,16.0,1.23
370,2,Inter 2022-2023,13.0,7.0,3.0,3.0,19.0,11.0,8.0,24.0,71.41500000000002,17.9,15.1,2.8,0.22
371,SF,Real Madrid 2022-2023,12.0,8.0,2.0,2.0,26.0,13.0,13.0,26.0,58.761,22.3,15.9,6.4,0.53
372,SF,Milan 2022-2023,12.0,5.0,3.0,4.0,15.0,11.0,4.0,18.0,72.54599999999999,16.5,14.6,1.9,0.16
373,QF,Bayern Munich 2022-2023,10.0,8.0,1.0,1.0,22.0,6.0,16.0,25.0,75.0,19.4,10.9,8.4,0.84
374,QF,Napoli 2022-2023,10.0,7.0,1.0,2.0,26.0,8.0,18.0,22.0,49.13300000000001,25.2,13.0,12.2,1.22
375,QF,Benfica 2022-2023,10.0,6.0,3.0,1.0,26.0,13.0,13.0,21.0,60.222,19.0,10.9,8.1,0.81
376,QF,Chelsea 2022-2023,10.0,5.0,1.0,4.0,12.0,9.0,3.0,16.0,39.216,16.2,10.7,5.5,0.55
377,R16,Liverpool 2022-2023,8.0,5.0,0.0,3.0,19.0,12.0,7.0,15.0,51.578,14.7,10.6,4.1,0.51
378,R16,Paris S-G 2022-2023,8.0,4.0,2.0,2.0,16.0,10.0,6.0,14.0,46.68,10.8,10.0,0.8,0.1
379,R16,Porto 2022-2023,8.0,4.0,1.0,3.0,12.0,8.0,4.0,13.0,44.296,15.2,11.4,3.9,0.48
380,R16,RB Leipzig 2022-2023,8.0,4.0,1.0,3.0,14.0,17.0,-3.0,13.0,44.319,11.7,12.4,-0.8,-0.1
381,R16,Dortmund 2022-2023,8.0,3.0,3.0,2.0,11.0,7.0,4.0,12.0,78.516,10.5,11.4,-0.9,-0.12
382,R16,Tottenham 2022-2023,8.0,3.0,3.0,2.0,8.0,7.0,1.0,12.0,58.43400000000001,10.0,8.8,1.2,0.15
383,R16,Club Brugge 2022-2023,8.0,3.0,2.0,3.0,8.0,11.0,-3.0,11.0,24.295999999999903,8.0,16.9,-8.9,-1.12
384,R16,Eint Frankfurt 2022-2023,8.0,3.0,1.0,4.0,7.0,13.0,-6.0,10.0,49.3,8.0,12.9,-4.9,-0.61
385,GR,Barcelona 2022-2023,6.0,2.0,1.0,3.0,12.0,12.0,0.0,7.0,84.57600000000001,9.9,9.3,0.6,0.1
386,GR,Sporting CP 2022-2023,6.0,2.0,1.0,3.0,8.0,9.0,-1.0,7.0,39.923,3.8,9.8,-6.0,-1.01
387,GR,Marseille 2022-2023,6.0,2.0,0.0,4.0,8.0,8.0,0.0,6.0,37.962,8.6,5.1,3.5,0.59
388,GR,Shakhtar 2022-2023,6.0,1.0,3.0,2.0,8.0,10.0,-2.0,6.0,25.257,3.7,10.9,-7.1,-1.19
389,GR,RB Salzburg 2022-2023,6.0,1.0,3.0,2.0,5.0,9.0,-4.0,6.0,29.300999999999902,8.3,6.9,1.4,0.23
390,GR,Ajax 2022-2023,6.0,2.0,0.0,4.0,11.0,16.0,-5.0,6.0,53.028000000000006,8.3,12.2,-3.9,-0.65
391,GR,Atlético Madrid 2022-2023,6.0,1.0,2.0,3.0,5.0,9.0,-4.0,5.0,58.7969999999999,9.5,9.8,-0.3,-0.05
392,GR,Leverkusen 2022-2023,6.0,1.0,2.0,3.0,4.0,8.0,-4.0,5.0,28.748,9.0,7.5,1.5,0.26
393,GR,Sevilla 2022-2023,6.0,1.0,2.0,3.0,6.0,12.0,-6.0,5.0,34.415,5.4,10.2,-4.8,-0.8
394,GR,Dinamo Zagreb 2022-2023,6.0,1.0,1.0,4.0,4.0,11.0,-7.0,4.0,20.652999999999903,4.2,12.5,-8.3,-1.39
395,GR,Juventus 2022-2023,6.0,1.0,0.0,5.0,9.0,13.0,-4.0,3.0,34.534,8.6,10.6,-2.0,-0.33
396,GR,FC Copenhagen 2022-2023,6.0,0.0,3.0,3.0,1.0,12.0,-11.0,3.0,34.086,4.8,11.2,-6.4,-1.06
397,GR,Maccabi Haifa 2022-2023,6.0,1.0,0.0,5.0,7.0,21.0,-14.0,3.0,30.317,6.4,9.6,-3.3,-0.55
398,GR,Celtic 2022-2023,6.0,0.0,2.0,4.0,4.0,15.0,-11.0,2.0,57.36699999999991,9.2,10.9,-1.7,-0.29
399,GR,Viktoria Plzeň 2022-2023,6.0,0.0,0.0,6.0,5.0,24.0,-19.0,0.0,11.2789999999999,5.5,15.1,-9.5,-1.59
400,GR,Rangers 2022-2023,6.0,0.0,0.0,6.0,2.0,22.0,-20.0,0.0,49.253,4.9,14.3,-9.4,-1.57
401,R16,Manchester City 2023-2024,6.0,6.0,0.0,0.0,18.0,7.0,11.0,18.0,50.885,17.0,3.3,13.7,2.28
402,R16,Real Madrid 2023-2024,6.0,6.0,0.0,0.0,16.0,7.0,9.0,18.0,69.09299999999999,15.0,7.6,7.4,1.23
403,R16,Bayern Munich 2023-2024,6.0,5.0,1.0,0.0,12.0,6.0,6.0,16.0,75.0,9.3,6.8,2.4,0.4
404,R16,Atlético Madrid 2023-2024,6.0,4.0,2.0,0.0,17.0,6.0,11.0,14.0,62.06,9.3,6.5,2.7,0.46
405,R16,Arsenal 2023-2024,6.0,4.0,1.0,1.0,16.0,4.0,12.0,13.0,59.62399999999999,10.7,3.8,7.0,1.16
406,R16,Porto 2023-2024,6.0,4.0,0.0,2.0,15.0,8.0,7.0,12.0,47.55499999999999,9.8,6.3,3.5,0.58
407,R16,Barcelona 2023-2024,6.0,4.0,0.0,2.0,12.0,6.0,6.0,12.0,41.97699999999991,10.5,5.6,4.9,0.82
408,R16,Real Sociedad 2023-2024,6.0,3.0,3.0,0.0,7.0,2.0,5.0,12.0,35.94200000000001,8.7,3.8,5.0,0.83
409,R16,RB Leipzig 2023-2024,6.0,4.0,0.0,2.0,13.0,10.0,3.0,12.0,43.5889999999999,9.8,8.5,1.3,0.22
410,R16,Inter 2023-2024,6.0,3.0,3.0,0.0,8.0,5.0,3.0,12.0,69.1359999999999,12.3,5.3,7.0,1.17
411,R16,Dortmund 2023-2024,6.0,3.0,2.0,1.0,7.0,4.0,3.0,11.0,81.3649999999999,8.0,10.6,-2.6,-0.43
412,R16,Napoli 2023-2024,6.0,3.0,1.0,2.0,10.0,9.0,1.0,10.0,43.98,8.4,8.2,0.1,0.02
413,R16,Lazio 2023-2024,6.0,3.0,1.0,2.0,7.0,7.0,0.0,10.0,44.44499999999999,8.6,7.1,1.4,0.24
414,R16,PSV Eindhoven 2023-2024,6.0,2.0,3.0,1.0,8.0,10.0,-2.0,9.0,34.469,7.9,8.6,-0.7,-0.12
415,R16,Paris S-G 2023-2024,6.0,2.0,2.0,2.0,9.0,8.0,1.0,8.0,46.592,13.4,6.3,7.1,1.18
416,R16,FC Copenhagen 2023-2024,6.0,2.0,2.0,2.0,8.0,8.0,0.0,8.0,35.505,7.6,8.7,-1.1,-0.19
417,GR,Shakhtar 2023-2024,6.0,3.0,0.0,3.0,10.0,12.0,-2.0,9.0,47.69500000000001,7.4,10.9,-3.5,-0.58
418,GR,Milan 2023-2024,6.0,2.0,2.0,2.0,5.0,8.0,-3.0,8.0,72.21199999999999,9.6,7.7,1.9,0.32
419,GR,Lens 2023-2024,6.0,2.0,2.0,2.0,6.0,11.0,-5.0,8.0,37.543,6.1,7.5,-1.4,-0.23
420,GR,Feyenoord 2023-2024,6.0,2.0,0.0,4.0,9.0,10.0,-1.0,6.0,44.01,10.6,8.0,2.6,0.43
421,GR,Newcastle Utd 2023-2024,6.0,1.0,2.0,3.0,6.0,7.0,-1.0,5.0,52.023,5.9,12.3,-6.4,-1.07
422,GR,Galatasaray 2023-2024,6.0,1.0,2.0,3.0,10.0,13.0,-3.0,5.0,50.13999999999999,9.8,10.2,-0.4,-0.07
423,GR,Manchester Utd 2023-2024,6.0,1.0,1.0,4.0,12.0,15.0,-3.0,4.0,73.17500000000001,10.5,11.4,-0.9,-0.15
424,GR,Benfica 2023-2024,6.0,1.0,1.0,4.0,7.0,11.0,-4.0,4.0,56.621,7.8,15.9,-8.1,-1.34
425,GR,RB Salzburg 2023-2024,6.0,1.0,1.0,4.0,4.0,8.0,-4.0,4.0,28.477,7.4,11.4,-3.9,-0.66
426,GR,Young Boys 2023-2024,6.0,1.0,1.0,4.0,7.0,13.0,-6.0,4.0,31.5,6.4,15.3,-8.9,-1.48
427,GR,Braga 2023-2024,6.0,1.0,1.0,4.0,6.0,12.0,-6.0,4.0,21.366,8.3,10.0,-1.7,-0.28
428,GR,Celtic 2023-2024,6.0,1.0,1.0,4.0,5.0,15.0,-10.0,4.0,56.0989999999999,4.9,11.7,-6.8,-1.13
429,GR,Antwerp 2023-2024,6.0,1.0,0.0,5.0,6.0,17.0,-11.0,3.0,13.57,6.2,11.1,-4.9,-0.81
430,GR,Union Berlin 2023-2024,6.0,0.0,2.0,4.0,6.0,10.0,-4.0,2.0,72.976,5.6,11.5,-5.9,-0.98
431,GR,Sevilla 2023-2024,6.0,0.0,2.0,4.0,7.0,12.0,-5.0,2.0,34.1809999999999,5.9,10.8,-4.9,-0.81
432,GR,Red Star 2023-2024,6.0,0.0,1.0,5.0,7.0,15.0,-8.0,1.0,46.202000000000005,8.7,14.8,-6.1,-1.02
